dataset,instruction,input,output,alternative_a,alternative_b,alternative_c,alternative_d
MedMCQA,"2, 3-BPG se liga a sítios de hemoglobina e a afinidade pelo oxigênio",,B,"4, diminui","1, diminui","4, aumenta","1, aumenta"
MedMCQA,Qual é a maior concentração de oxigênio fornecida através?,,C,Cânula nasal,Máscara de Venturi,Bolsa e máscara,Máscara com reservatório
MedMCQA,A cúspide mais afiada é vista em,,A,Canino superior,Canino inferior,Pré-molar superior,Pré-molar inferior
MedMCQA,Uma mãe é Hbs Ag positiva e anti Hbe Ag positiva. O risco de transmissão do Hep. B na criança é:,,A,20%,50%,0%,90%
MedMCQA,"Em um paciente com lábios competentes juntos em repouso, a linha dos lábios está oposta às pontas dos incisivos superiores. A linha dos lábios é então descrita como",,D,Média,Alta,Incompleta,Baixa
MedMCQA,"Um paciente apresentou-se ao pronto-socorro com overdose de algum medicamento. Houve aumento da salivação e aumento das secreções brônquicas. Ao exame, a pressão arterial era de 88/60 mmHg. O nível de esterase de RBC é 50. Qual deve ser o tratamento dessa pessoa?",,B,Neostigmina,Atropina,Flumazenil,Fisostigmina
MedMCQA,O design atual da presilha da barra é:,,A,A) Descanso mesio-oclusal,B) Descanso disto-oclusal,C) Mesial ou distal dependendo da situação,D) Escolha do dentista
MedMCQA,"Todas as seguintes afirmações são verdadeiras em relação à preparação de margens gengivais de inlays de Classe II, exceto?",,D,Remoção de hastes de esmalte fracas,Aumento da maleabilidade do metal,Encaixe deslizante de lapela da margem de metal,Margens da restauração em área autolimpante
MedMCQA,A quebra das fibras periodontais na periodontite é devido a uma enzima bacteriana: (OU) Quais dos seguintes produtos bacterianos têm sido implicados no início da doença periodontal inflamatória?,,A,Colagenase,Hialuronidase,Coagulase,Nenhuma das opções acima
MedMCQA,"Em um estudo, dois grupos de recém-nascidos são verificados quanto ao peso com base em se suas mães receberam suplementos alimentares ou não. O teste apropriado que pode ser usado para comparar os dados é:",,C,Teste qui-quadrado,Teste T pareado,Teste T de Student,Teste exato de Fischer
MedMCQA,Qual vitamina é necessária para a Fosforilase de glicogênio?,,A,PLP,TPP,Riboflavina,Ácido lipóico
MedMCQA,O comportamento de uma criança é atribuído a dificuldades dentárias de sua mãe. O método mais satisfatório para lidar com a situação é:,,B,Apresentar outra criança como um bom exemplo,Modificar seu medo por familiarização,Usar pequenas quantidades de barbituratos,Ser firme
MedMCQA,Qual dos seguintes é o único anel de cartilagem completo na árvore respiratória?,,A,Anel cricoide,Anel tireoide,Anel cuneiforme,Epiglote
MedMCQA,Passos da intubação - organize em sequência: a. Extensão da cabeça e flexão do pescoço b. Introdução do laringoscópio c. Inflação do cuff d. Verificação dos sons respiratórios com estetoscópio e. Fixação do tubo para evitar deslocamento,,A,ABCDE,DBCEA,ACBED,CBAED
MedMCQA,"Em Eritroblastose fetal, não está envolvido –",,D,Anti C,Anti D,Anti E,Anti Lewis
MedMCQA,"Um dentista sofreu uma infecção por Hepatite B há 3 meses. Seus exames laboratoriais estão normais, mas ele não é permitido pelo conselho médico a realizar práticas cirúrgicas. Ele é:",,C,Portador inativo,Portador saudável,Portador convalescente,Portador paradoxal
MedMCQA,Um pediatra em um hospital de distrito com unidade de cuidados neonatais especializados chama um oftalmologista para consulta para qual dos seguintes casos?,,B,Um recém-nascido com dificuldade respiratória,Um bebê nascido com 28 semanas de gestação,Recém-nascido com icterícia,Um recém-nascido com peso de 2300 gramas
MedMCQA,"Em uma criança com falência hepática ativa, o fator prognóstico mais importante para a morte é -",,D,Aumento das transaminases,Aumento da bilirrubina,Aumento do tempo de protrombina,Sepse Gram (-)ve
MedMCQA,"Um paciente entrou em choque imediatamente após o parto normal, provável causa:",,C,Embolia de líquido amniótico,Hemorragia pós-parto,Inversão uterina,Eclâmpsia
MedMCQA,"Um paciente apresentou pápulas violáceas com topo plano, afinamento das unhas e onicólise. Qual é o achado microscópico observado neste paciente?",,C,Célula necrótica proeminente,Divisão suprabasal,Degeneração das células basais,Acanthólise
MedMCQA,Qual das seguintes afirmações não é verdadeira em relação à mielopatia?,,B,Perda sensorial da área facial,Reflexo mandibular rápido,Reflexo peitoral rápido,Urgência e incontinência da micção
MedMCQA,Qual dos seguintes comitês recomendou um curso de bacharelado de 3 anos em educação médica para serviços de saúde rural?,,A,Grupo de especialistas de alto nível do programa de saúde universal para a Índia,Bureau central de investigação de saúde,Comitê Srivastava,Comitê Sundar
MedMCQA,Arranjo sequencial de exames fetais -,,D,Exame de crescimento,Marcador triplo,Exame de anomalias e exame de TN,Todos
MedMCQA,Qual das seguintes é uma incisão de divisão muscular?,,D,Incisão de Kocher,Incisão de Rutherford-Morrison,Incisão de Pfannenstiel,Incisão de Lanz
MedMCQA,Em quais dentes pré-molares são vistos múltiplos canais?,,A,Africanos,Caucasianos,Não Lembrado,Não Lembrado
MedMCQA,Qual dos seguintes ângulos de lâmina é apropriado para raspagem e alisamento radicular,,B,A,B,C,D
MedMCQA,Qual parte do plexo braquial não dá ramos?,,B,Raiz,Divisão,Corda,Tronco
MedMCQA,"Se a fosforilação do gene Rb estiver defeituosa, o que acontecerá?",,A,O ciclo celular irá parar na fase GI,O ciclo celular irá parar na fase G2,O ciclo celular irá progredir e a célula irá se dividir,"Não haverá efeito no ciclo celular, pois a fosforilação do gene Rb não é necessária"
MedMCQA,O que é o índice cumulativo:,,C,Índice periodontal de Russet,Índice periodontal de Ramjford,PMA (Massler e Schlour),Índice gengival (Loe e Silness)
MedMCQA,As células que se proliferarão de cima para baixo das vilosidades são:,,C,Células principais,Células caliciformes,Células de Paneth,Células parietais
MedMCQA,Qual é o peso usual do coelho usado em experimentos oftalmológicos?,,B,"0,5-1 kg","1,5-2,5 kg",5-7 kg,10-12 kg
MedMCQA,"Na malária por Plasmodium vivax, a recaída é causada por:",,C,Esporozoíto,Esquizonte,Hipnozoíto,Gametócito
MedMCQA,A retração da mandíbula é alcançada por:,,B,Pterigoide lateral,Temporal,Pterigoide medial,Masseter
MedMCQA,Como o índice de choque modificado é representado?,,A,HR/MAP,MAP/HR,HR/SBP,HR/DBP
MedMCQA,"Um recém-nascido de 3 semanas com genitália ambígua apresentou Na+ 127 meq/L, K+ 7.2 meq/L com PA 52/24 mm Hg e foi tratado com fluidos intravenosos. Qual é o próximo passo do tratamento?",,B,Espironolactona,Administração de hidrocortisona,Antibióticos de amplo espectro,Gluconato de cálcio
MedMCQA,Pares de bases no DNA,,C,"1,5 bilhões",46 bilhões,"3,2 bilhões",100 bilhões
MedMCQA,Qual das seguintes é uma solução sólida?,,C,Amálgama,Cobalto-cromo,Prata-paládio,Gálio-prata
MedMCQA,As secreções traqueais devem ser aspiradas por:,,A,10-15 segundos,60 segundos,30 segundos,3 minutos
MedMCQA,"Um paciente apresenta carcinoma da laringe envolvendo as cordas vocais falsas esquerdas, aritenoides esquerdos e pregas aritenoepiglóticas esquerdas, com cordas vocais verdadeiras móveis bilateralmente. O tratamento de escolha é -",,A,Hemilaringectomia vertical,Hemilaringectomia parcial horizontal,Laringectomia total,Radioterapia seguida de quimioterapia
MedMCQA,Qual das seguintes lipoproteínas não se move em direção à extremidade carregada na eletroforese?,,D,VLDL,LDL,HDL,Quilomicrons
MedMCQA,"Um homem de 60 anos apresentou febre, calafrios e disúria. O paciente foi hospitalizado em emergência por 5 dias. O nível de PSA foi de 7,4. Qual é o próximo melhor passo para esse paciente?",,D,Repetir o PSA,TURP,Biópsia guiada por TRUS,Antibióticos e internação
MedMCQA,Nomeie a estrutura marcada com a seta,,C,Mitocôndria,Corpos de Golgi,Vesículas secretoras,Retículo endoplasmático rugoso
MedMCQA,Um paciente dos estados do leste foi diagnosticado com infecção por malária P. falciparum. Qual é o medicamento mais apropriado para esse paciente?,,A,Aemether mais lumefantrina,Sulfadoxina mais pirimetamina,Cloroquina,Mefloquina
MedMCQA,"O ferro está presente em todos, EXCETO",,D,Mioglobina,Citocromo,Catalase,Piruvato quinase
MedMCQA,O tumor ósseo mais comum que ocorre em crianças é:,,A,Osteossarcoma,Sarcoma de Ewing,Carcinoma metastático,Mieloma múltiplo
MedMCQA,"Em um casal em tratamento de infertilidade nos últimos quatro anos, a parceira feminina está normal. O parceiro masculino tem um volume de sêmen de 0,8 ml por ejaculação em duas amostras repetidas e ausência de frutose, sem espermatozoides no exame sob microscópio. Qual é a próxima linha de tratamento?",,D,Exame per-retal para verificar obstrução dos ductos ejaculatórios,Dar antioxidantes,Biópsia testicular,Ultrassom transretal para detectar obstrução dos ductos
MedMCQA,O osso zigomático não articula com:,,C,Osso frontal,Osso maxilar,Osso nasal,Osso temporal
MedMCQA,Qual das seguintes afirmações é verdadeira em relação ao aborto médico?,,D,A ultrassonografia deve ser feita em todos os casos,"Se a paciente tiver um DIU em vigor, não é necessário removê-lo",Só pode ser feito até 72 dias,Somente uma pessoa certificada de acordo com a Lei MTP pode realizar a interrupção médica da gravidez
MedMCQA,Íons de cálcio desencadeiam a contração muscular ao se ligarem a:,,C,Actina,Miosina,Troponina,Tropomiosina
MedMCQA,"O plasma SD destrói vírus com envelope lipídico. Na transfusão de plasma SD, qual das seguintes infecções é a possibilidade mais provável?",,B,HIV,HAV,HBV,HCV
MedMCQA,"De acordo com a classificação do quociente de inteligência, uma pontuação de 90-110 é:",,B,Abaixo da média.,Média,Superior,Retardado mental.
MedMCQA,"Devido à deficiência de qual das seguintes enzimas, a vitamina C não pode ser sintetizada em humanos?",,C,A) L-Glucuronic acid oxidase,B) L-Gulonic acid reductase,C) L-Gulonolactone oxidase,D) L-Gulonolactone reductase
MedMCQA,"Em um paciente com doença cardíaca, a profilaxia com antibióticos para extração dentária é:",,A,Amoxicilina.,Imipenem.,Gentamicina.,Eritromicina.
MedMCQA,"Qual tipo de falha a seguir pode ocorrer, se o coeficiente de expansão térmica do cerâmico for muito menor do que o do metal?",,B,Falha coesiva do cerâmico,Falha adesiva da ligação metal-cerâmico,Falha coesiva do metal,Falha coesiva da ligação metal-cerâmico
MedMCQA,Curva anti-monsoon vista em:,,D,Pré-molar,Molar,Anterior,Todas as opções acima.
MedMCQA,"Uma criança de 10 anos tem lesões líticas no fêmur superior, o diagnóstico diferencial pode ser todos, exceto:",,A,Plasmocitoma,Tumor de Brown,Metástase,Histiocitose
MedMCQA,"Durante a cirurgia perirradicular, o osso é removido com?",,A,Broca redonda,Broca de cone duplo invertido,Broca de fissura,Broca cônica
MedMCQA,A função primária da polpa dentária é:,,B,Nutritiva,Produção de dentina,Produção de esmalte,Suprimento vascular para os dentes
MedMCQA,Qual dos seguintes aumenta a formação de calo ósseo:,,B,Imobilização rígida,Movimento no local da fratura,Placa de compressão,Pregamento intraósseo
MedMCQA,A criança de Vasanthi foi desmamada do leite materno no 5º dia e recebeu suco de cana-de-açúcar. A criança desenvolveu hipoglicemia e hepatomegalia. O exame bioquímico mostrou hipofosfatemia e deficiências enzimáticas - substâncias redutoras na urina. A criança provavelmente está sofrendo de qual das seguintes deficiências enzimáticas -,,B,Fructokinase,Aldolase B,Glucose 6 Fosfatase,Beta galactosidase
MedMCQA,Músculos esqueléticos,,C,Contrai quando o cálcio é absorvido pelo retículo sarcoplasmático,Contrai quando os filamentos de actina e miosina encurtam,A contração é iniciada pela ligação do cálcio à troponina,A contração é iniciada pela ligação do cálcio à tropomiosina
MedMCQA,Qual dos seguintes é mais eficaz para a gliconeogênese em jejum?,,A,Estimulação de Acetil Co-A da piruvato carboxilase,"Estimulação de Frutose-1, 6-bifosfato da fosfofrutoquinase-1",Estimulação de Citrato da acetil carboxilase,"Estimulação de Frutose-2, 6-bifosfato da fosfofrutoquinase-2"
MedMCQA,Qual não está envolvido no metabolismo do ferro?,,A,Transtiretina,Ceruloplasmina,Hepcidina,Ferropoin
MedMCQA,"Uma menina de 14 anos apresentou ausência de telarca. No exame, o útero estava presente. As investigações mostraram FSH alto. O cariótipo é XY. Qual é o diagnóstico provável?",,A,Disgenesia gonadal,Síndrome de Kallman,Síndrome de insensibilidade aos andrógenos,Hiperplasia adrenal
MedMCQA,Reciprocal arm taper in,,A,1 dimensão,2 dimensão,3 dimensão,Não afunilado
MedMCQA,O aparelho Bluegrass é usado para tratar:,,C,Sucção do polegar.,Empurrar a língua.,Ambos,Respiração pela boca.
MedMCQA,"Em um segundo molar primário, as cáries ocorrem mais comumente em",,A,Fossa oclusal e fissuras,Cáries proximais abaixo do ponto de contato,Superfície bucal,Cáries proximais acima do ponto de contato
MedMCQA,"A cadeia linfática de Waldeyer é formada por todos, exceto",,D,Amígdalas palatinas,Amígdalas faríngeas,Amígdalas tubárias e linguais,Nódulos pós-auriculares
MedMCQA,"A polidactilia, craniossinostose, fechamento tardio das fontanelas é uma característica de:",,A,Síndrome de Apert,Síndrome de Crouton,Síndrome de Pierre Robin,Síndrome de Down
MedMCQA,"Mudanças fisiológicas observadas na laparoscopia incluem todas, exceto:",,D,Aumento da PIC,Diminuição da CPT,Aumento da PVC,Aumento do pH
MedMCQA,Qual dos seguintes tipos de fibras nervosas é menos suscetível ao bloqueio de LA?,,B,A beta,A alfa,Fibras B,Fibras C
MedMCQA,"Uma criança nascida com múltiplos defeitos congênitos, incluindo fenda palatina, defeito do tubo neural, defeito do septo atrial e microcefalia, qual dos seguintes medicamentos é usado pela mãe durante a gravidez?",,B,Eritromicina,Isotretinoína,Ibuprofeno,Metronidazol
MedMCQA,A incorporação de um selo periférico em uma impressão é necessária para obter;,,B,Estabilidade,Periferia moldada funcionalmente,Oclusão harmoniosa,Selo palatino posterior
MedMCQA,Aumento na altura da mandíbula com aumento nos espaços interdentais em um homem idoso,,A,Hipopituitarismo,Hipertireoidismo,Hipopituitarismo,Hiperparatireoidismo
MedMCQA,Um paciente tem rinite alérgica sazonal e está tomando terfenadina. Ele desenvolve arritmias cardíacas após um curso de antibióticos. Qual dos seguintes antibióticos poderia ter sido dado:,,C,Ampicilina,Tetraciclina,Eritromicina,Co-trimoxazol
MedMCQA,O que significa módulo de elasticidade:,,A,Rigidez ou rigidez do material,Capacidade de ser esticado com deformação permanente,Ductilidade de um material,Maleabilidade do metal
MedMCQA,O fator Vwf é produzido por:,,B,Plaquetas,Células endoteliais,Neutrófilos,Monócitos
MedMCQA,Qual das seguintes afirmações é falsa sobre mordidas de cobra?,,D,O soro antiofídico não é eficaz em mordidas de cobra de nariz de corcunda,O veneno de cobra é neurotóxico,A pré-medicação com atropina deve ser usada antes de administrar Neostigmina,A Neostigmina tem um papel em mordidas de cobra krait.
MedMCQA,Um dispositivo protético dado para cobrir o defeito palatal em pacientes com fissura palatina é chamado de,,B,Véu artificial,Obturador,Dispositivo protético removível,Nenhuma das alternativas acima
MedMCQA,"Bactérias formadoras de biofilme causam resistência antimicrobiana por todos os seguintes, exceto:",,D,Barreira mecânica,Aumento da excreção de antibióticos,Metabolismo alterado,Adesão
MedMCQA,Qual dessas drogas é um antídoto para a terapia fibrinolítica?,,A,Ácido epsilon aminocapróico,Protamina,Heparina,Estreptoquinase
MedMCQA,Qual osso facial é mais propenso a fraturas?,,B,Mandíbula,Nasal,Zigoma,Frontal
MedMCQA,"Para verificar a resposta objetiva à dor, qual é o melhor método usado?",,A,Escala de dor facial,Reflexo do joelho,Reflexo H,Reflexo R III
MedMCQA,"Uma criança de um ano de idade, que antes era normal, está sofrendo de secreção nasal copiosa, características faciais grosseiras, língua grande, cabeça protuberante e nariz achatado. Ele também está com baço e fígado aumentados. Qual pode ser a causa?",,D,Hipotireoidismo,Síndrome de Beckwith-Wiedemann,Síndrome de Proteus,Síndrome de Hurler
MedMCQA,A resolução do IOPA é de aproximadamente:,,B,10 Lp/mm,16 Lp/mm,28 Lp/mm,30 Lp/mm
MedMCQA,"Um paciente diagnosticado com carcinoma de pulmão apresentou um nível sérico de cálcio de 16,4 mmol/L. Qual será o primeiro passo no tratamento?",,A,Fluidos intravenosos e furosemida,Hemodiálise imediata,Bisfosfonatos,Quimioterapia com gemcitabina e carboplatina
MedMCQA,"O seguinte teste pode ser anormal na coagulação intravascular disseminada, exceto:",,D,Protrombina,Tempo de tromboplastina parcial ativada,Níveis de D-timer,Solubilidade do coágulo.
MedMCQA,"Na Xerostomia, o pH salivar é:",,B,Inalterado,Baixo,Alto,Aumentado de manhã e diminui durante o dia
MedMCQA,Qual das seguintes afirmações não é verdadeira sobre a cúspide do selo?,,C,Manter a altura vertical da face,A inclinação facial pode entrar em contato em MI,Cúspides afiadas e cristas proeminentes estão presentes,Não lembrado
MedMCQA,A restrição de açúcar na dieta foi benéfica na presença de higiene desfavorável em qual estudo?,,A,Hopewood,Experimental,Vipeholm,Turku
MedMCQA,A que temperatura o gel de alginato é formado?,,A,3-4 minutos.,6-8 minutos.,15-16 minutos.,1-2 minutos.
MedMCQA,Tumor mais comum da glândula lacrimal:,,D,Fratura perilunar trans-escafóide,Fratura de escafóide,Fratura do rádio distal,Fratura de hamato
MedMCQA,Qual é a porcentagem de carbono nos instrumentos de aço carbono?,,A,1-1.2%,10-12%,0.6 a 0.8%,6 a 8%
MedMCQA,A administração tópica de 1% de pilocarpina não conseguiu produzir constrição pupilar em um paciente que tinha uma pupila grande e dilatada. Qual deve ser a razão mais provável?,,C,Pupila tônica de Adie,Paralisia do III nervo diabético,Bloqueio farmacológico,Hérnia uncal
MedMCQA,A gengivite na gravidez é causada por:,,A,Bacteriodes melaninogenicus,Actinobacillus actinomycetemcomitans,Streptococcus sanguis,Fusobacterium
MedMCQA,A artéria palpável na borda anterior do masseter é:,,B,Artéria temporal superficial,Artéria facial,Artéria lingual,Artéria maxilar
MedMCQA,"No DIC, são observados todos os seguintes, exceto",,C,Diminuição de fibrinogênio,Trombocitopenia,APTT normal,Elevação do PT
MedMCQA,A absorção de qual dos seguintes medicamentos é aumentada após uma refeição gordurosa?,,B,Anfotericina B,Griseofulvina,Ampicilina,Aspirina
MedMCQA,Qual é a base da formação do comportamento:,,A,Teoria do estímulo-resposta,Princípio da aprendizagem social,Hierarquia das necessidades,Nenhuma das alternativas acima.
MedMCQA,Raiz mais curta do primeiro molar maxilar,,A,Distobucal,Mesiobucal,Palatal,Todas são iguais
MedMCQA,Reincidência de malária é comum com qual tipo de espécie de plasmodium?,,C,Plasmodium malariae e vivax,Plasmodium falciparum e vivax,Plasmodium vivax e ovale,Plasmodium ovale e malariae
MedMCQA,"Qual dos seguintes constituintes é comum em selantes oclusais, agentes de união e resinas compostas?",,A,BIS GMA,Metacrilato de polimetila,Éter metílico de benzoina,Filtro de sílica
MedMCQA,Qual dente decíduo se assemelha ao pré-molar?,,A,Primeiro molar superior,Primeiro molar inferior,Segundo molar superior,Segundo molar inferior
MedMCQA,"De acordo com a Lei de Transplante de Órgãos Humanos, qual dos seguintes médicos não está autorizado a declarar a morte cerebral do tronco cerebral?",,D,Médico responsável pelo RMP do hospital,Médico responsável pelo tratamento,Neurocirurgião,Cirurgião que realiza transplante de fígado
MedMCQA,Qual dos seguintes tipos de lipase é controlado pelo glucagon?,,B,Lipase lipoproteica,Lipase sensível a hormônios,Lipase gástrica,Lipase pancreática
MedMCQA,"Na odontologia, quais sedativos são geralmente usados:",,A,Benzodiazepínicos,Morfina,AINE,Pethidine
MedMCQA,Em caso de fratura da mandíbula; a borda alveolar sofre qual força?,,A,Tensão,Compressão,Torção,Rotação
MedMCQA,O hormônio que tem o efeito máximo na cicatrização de feridas por granulação é:,,B,Tiroxina,Cortisona,Paratormônio,Epinefrina
MedMCQA,O coágulo formado não é estável a menos que ocorra uma extensa ligação cruzada. Essa extensa ligação cruzada do coágulo sanguíneo é feita por:,,D,A) Plasmina,B) Trombina,C) HMWK,D) Fator XIII
MedMCQA,"A pré-gravação é útil para todos, exceto:",,B,Traga mais mercúrio em excesso para a superfície,Aumente a dureza da superfície,Diminua o número e o tamanho dos vazios,Adaptação marginal
MedMCQA,"Um recém-nascido está sendo investigado por icterícia. Uma biópsia hepática mostra características de ""Hepatite de Células Gigantes/Neonatal"". Qual das seguintes condições geralmente resulta nesse caso –",,C,Fibrose hepática congênita,Hemocromatose,Deficiência de alfa-1-antitripsina,Doença de armazenamento de glicogênio Tipo 1
MedMCQA,A amônia do cérebro é removida como:,,D,Ureia,Alanina,Glutamato,Glutamina
MedMCQA,O uso de lítio durante a gravidez aumenta o risco de desenvolvimento de qual das seguintes malformações no bebê?,,B,Defeitos faciais,Defeitos cardíacos,Defeitos do tubo neural,Defeitos urogenitais
MedMCQA,Qual é a apresentação mais comum do tumor desmoide abdominal?,,B,Dor abdominal,Massa abdominal,Febre,Retenção urinária
MedMCQA,A perda auditiva induzida por ruído afeta principalmente:,,B,Célula ciliada interna,Célula ciliada externa,Mácula,Cúpula
MedMCQA,Substituir um aminoácido não alterará suas funções,,A,Glutamina para Asparagina,Aspartato e Glutamato,Alanina para triptofano,Nenhuma dessas
MedMCQA,"Um fumante crônico de 75 anos, diabético e edêntulo nos últimos 30 anos, tem uma fratura bilateral do corpo, a melhor modalidade de tratamento é",,B,ORIF com placa de reconstrução,Gunning splints,Dois mini parafusos,Osteossíntese com fio
MedMCQA,Qual dos seguintes é usado como endurecedor de superfície em material de impressão?,,A,A) 2% de sulfato de potássio,"B) 0,2% de sulfato de potássio",C) 2% de sulfato de sódio,D) 4% de sulfato de potássio
MedMCQA,Uma mulher de 59 anos apresenta uma condição gengival com depressão semelhante a uma cratera coberta por uma membrana que pode ser removida sem dor?,,C,Lesão diftérica,Gingivostomatite herpética aguda,ANUG,Lesão sifilítica
MedMCQA,O córtex visual está presente em qual lobo?,,A,Lobo occipital,Lobo temporal,Lobo frontal,Lobo parietal
MedMCQA,O ducto de Bartholin é o nome de:,,C,Ducto parotídeo,Glândula submandibular,Ducto sublingual,Ducto lacrimal
MedMCQA,Qual dos seguintes existe como levedura a 37°C e hifas a 25°C?,,A,Histoplasma capsulatum,Sporothrix globosa,Candida albicans,Cryptococcus neoformans
MedMCQA,Varizes pulsáteis nos membros inferiores são vistas em –,,A,Síndrome de Klippel Trenaunay,TR,Insuficiência cardíaca direita,Estenose carcinóide da tricúspide
MedMCQA,"O número de casos de cárie dentária relatados nos últimos 10 anos é dado abaixo 250, 320, 190, 300, 5000, 100, 260, 350, 320 e 160. O epidemiologista quer descobrir a média do número de casos de cárie relatados nessa cidade nos últimos 10 anos. A média mais apropriada de acordo com esses dados será",,C,Média aritmética,Moda,Mediana,Média geométrica
MedMCQA,O câncer ósseo mais comum é:,,B,Osteossarcoma,Câncer ósseo metastático,Mieloma múltiplo,Carcinoma de células escamosas
MedMCQA,Qual é o ligante para os receptores presentes no fígado para a captação de LDL?,,A,Apo B-100,Apo B-48,Apo E e Apo B-100,Apo A-I
MedMCQA,A proteína amiloide na amiloidose associada à hemodiálise é-,,C,AA,A b,b- 2 microglobulina,Transtiretina
MedMCQA,Dentes que erupcionam nos primeiros 30 dias de vida,,A,Dentes neonatais,Dentes natais,Dentes prematuros,Nenhum
MedMCQA,Organize os seguintes em sequência de fechamento:,,D,A) Umbilical Aery,B) Veia umbilical,C) Ductus venosus e Foramen ovale,D) Todos
